sample_id,taxon,taxon_grouping_qualifier,description,sub_sample,count,multiply_by,divide_by,quadrat_grids_number,quadrad_mesh_size_cm2,area_sampled,density,sub_sample_type,sub_sample_number,sample_number,area,stage,quadrat_number
A17_#_Q1,,,,,,1,1,24,6.25,150,,,,,17,4,1
A17_#_Q2,,,,,,1,1,18,6.25,112.5,,,,,17,4,2
A18_#50_Q1,c.f. Jassa,,c.f. Jassa,,37,1,1,19,6.25,118.75,,,,50,18,4,1
A18_#51_Q2,c.f. Jassa,,c.f. Jassa,,230,1,1,18,6.25,112.5,,,,51,18,4,2
A19_#52_Q1,encrusting bryozoan,fragment, Tube Bryozoan Fragment,,1,1,1,32,6.25,200,,,,52,19,2,1
A19_#52_Q1,white tufted bryozoan,colony, White Tufted Bryozoan Colonies,,4,1,1,32,6.25,200,,,,52,19,2,1
A19_#52_Q1,mussel,>2.5mm, Mussels (>2.5mm),,4,1,1,32,6.25,200,,,,52,19,2,1
A19_#52_Q1,c.f. Jassa,, Loose Sub-sample #1 cf Jassa,loose_1,83,37,5,32,6.25,200,,loose,1,52,19,2,1
A19_#52_Q1,mussel,, Loose Sub-sample #1 Mussels,loose_1,2,37,5,32,6.25,200,,loose,1,52,19,2,1
A19_#52_Q1,c.f. Jassa,, Loose Sub-sample #2 cf Jassa,loose_2,80,37,5,32,6.25,200,,loose,2,52,19,2,1
A19_#52_Q1,mussel,, Loose Sub-sample #2 Mussels,loose_2,3,37,5,32,6.25,200,,loose,2,52,19,2,1
A19_#52_Q1,c.f. Jassa,, Loose Sub-sample #3 cf Jassa,,101,37,5,32,6.25,200,,loose,3,52,19,2,1
A19_#52_Q1,mussel,, Loose Sub-sample #3 Mussels,,2,37,5,32,6.25,200,,loose,3,52,19,2,1
A19_#52_Q1,c.f. Jassa,, Loose Sub-sample #4 cf Jassa,,92,37,5,32,6.25,200,,loose,4,52,19,2,1
A19_#52_Q1,mussel,, Loose Sub-sample #4 Mussels,,3,37,5,32,6.25,200,,loose,4,52,19,2,1
A19_#52_Q1,red-eye amphipod,, Sub-sample #4 Red-eye Amphipod,,1,37,5,32,6.25,200,,loose,4,52,19,2,1
A19_#52_Q1,c.f. Jassa,, Loose Sub-sample #5 cf Jassa,,69,37,5,32,6.25,200,,loose,5,52,19,2,1
A19_#52_Q1,mussel,, Loose Sub-sample #5 Mussels,,1,37,5,32,6.25,200,,loose,5,52,19,2,1
A19_#52_Q1,c.f. Jassa,, Mat Sub-sample #1 cf Jassa,,36,12,4,32,6.25,200,,mat,1,52,19,2,1
A19_#52_Q1,clam,, Mat Sub-sample #1 Other Bivalves (clam),,1,12,4,32,6.25,200,,mat,1,52,19,2,1
A19_#52_Q1,c.f. Corophium,, Mat Sub-sample #1 cf Corophium,,1,12,4,32,6.25,200,,mat,1,52,19,2,1
A19_#52_Q1,pycnogonid,, Mat Sub-sample #1 Egg /jelly/fragment,,1,12,4,32,6.25,200,,mat,1,52,19,2,1
A19_#52_Q1,c.f. Jassa,, Mat Sub-sample #2 cf Jassa,,19,12,4,32,6.25,200,,mat,2,52,19,2,1
A19_#52_Q1,mussel,, Mat Sub-sample #2 Mussels,,2,12,4,32,6.25,200,,mat,2,52,19,2,1
A19_#52_Q1,clam,, Mat Sub-sample #2 Clam,,1,12,4,32,6.25,200,,mat,2,52,19,2,1
A19_#52_Q1,c.f. Jassa,, Mat Sub-sample #3 cf Jassa,,48,12,4,32,6.25,200,,mat,3,52,19,2,1
A19_#52_Q1,mussel,, Mat Sub-sample #3 Mussels,,5,12,4,32,6.25,200,,mat,3,52,19,2,1
A19_#52_Q1,clam,, Mat Sub-sample #3 Clam,,1,12,4,32,6.25,200,,mat,3,52,19,2,1
